"TemplateId","Category","Subcategory","Type","ItemText","DefaultActive","PresentIn","Location","Sort","Photo","ActivePDIId","Related PDI_LineItems",
"UPDI-0096","Charging","Solar","Check","Solar panels installed\cleaned\secured properly.","Y","MDC,PAUSE","Exterior","10","","03a0d327","96811eec , 9d4d3358 , 76d69cff , 74d99757 , c2b24b86 , 4dbd2204 , 3e7fe6d4 , d1bbb066 , 97c71ef7",
"UPDI-0097","Charging","Solar","Check","Solar charge controller installed\secured properly. Up to date and functional to expectation. Connections tested.","Y","PAUSE\MDC","Interior","10","","03a0d327","9c6974c5 , 0208889f , 5b9a0a63 , d0931bfb , 4beb5cbd , 71f0799b , b4e7a6a8 , eb0bbdd8 , 0b0cc2ae",
"UPDI-0098","Chasis","Tires","Check","Spare tire installed\secured properly. No damage\blemishes and PSI is correct","Y","MDC,PAUSE","Exterior","10","","03a0d327","bdfbf25d , a4bdc2ac , 65051be6 , ebff8437 , 550342f3 , c0abf60a , ed042298 , e75a170c , 5c20c3b4",
"UPDI-0099","Chasis","Tires","Check","Proper PSI. No damage\blemishes","Y","MDC,PAUSE","Exterior","10","","03a0d327","b0ffcb01 , ed62b947 , 72900dfb , b6a5cc51 , 557182b4 , 02f4411d , 8e1f407b , 8d84e6e1 , c481ff3e",
"UPDI-0100","Storage","Toolbox","Check","Front storage compartment installed\secured properly with functional lock\latch. No damage\nlemishes","Y","MDC,PAUSE","Exterior","10","","03a0d327","7cb86d89 , 51fda120 , c86480c1 , 2eb70646 , 327c596e , 5edc678f , ed487800 , 615403a9 , dc1a8cb0",
"UPDI-0101","Chasis","Trailer Tongue","Check","Tongue Jack installed secured\properly. No damage\blemishes. Proper funcation.","Y","MDC,PAUSE","Exterior","10","","03a0d327","4cb3f95e , 2dc216b2 , 23b6a4a6 , 2c1eeba3 , f589dbbd , cce70adc , 1128cf1a , 48ae0894 , 9648e14f",
"UPDI-0102","Chasis","Trailer Tongue","Check","Trailer hitch installed properly\secured\torqued. No damage\blemishes.","Y","MDC,PAUSE","Exterior","10","","03a0d327","9c43d6ca , f60b58a8 , d2a72936 , 6c81b8e9 , b20169fa , 494d3b93 , abdb361a , 5525b844 , 7bca826b",
"UPDI-0103","Charging","Trailer Tongue","Check","DC\DC Anderson connector installed\secured properly. No damage\blemishes","Y","MDC,PAUSE","Exterior","10","","03a0d327","c14b0451 , c1eab65f , bf18f7f6 , cc43d200 , 9e6ffa04 , 4ee44308 , 2447a69b , 5b4504d7 , 55598357",
"UPDI-0105","Structural","Underside","Check","All mounting hardware, screws, rivets, and brackets are present, tight, and secure.","Y","MDC,PAUSE","Exterior","10","","03a0d327","327fdebd , 7fb49c83 , 897a714f , 22bfa0cc , 34e9e469 , 652d0cf7 , cc661f33 , cd3864b4 , 7dbb22bd",
"UPDI-0108","Chasis","Suspension","Check","Suspension and Axels are installed correclty\secured. No damage\blemishes\rust.","Y","MDC,PAUSE","Exterior","30","","03a0d327","2b6ffb18 , b7589537 , c5ae6ddb , ce439563 , ca13e3d1 , a4fdb2bf , 095f635c , b5ae72dc , 6999237a",
"UPDI-0116","Water System","Black/Grey Drain","Check","Black/Grey tank drain and flush properly.","Y","PAUSE,MDC","Exterior","10","","03a0d327","d275a5ef , e60fd875 , b8a51fa0 , a307f3ac , 7cf1e91b , fae2c3be , 7668b8a8 , 3cd3dc03 , 106c6453",
"UPDI-0120","Water System","Water Supply","Check","Water pump functions and pressurizes properly. Installed\Secured and no leaks","Y","PAUSE,MDC","Interior","10","","03a0d327","9808bee4 , c9409713 , 6ceba4aa , 00c8f800 , 08fbb196 , e7c4a0ce , 12826708 , 3fc9a3c0 , edff990f",
"UPDI-0121","Compartment","Outside Kichen Sink","Check","Kitchen opens/closes/slides/extends smoothly and locks/adjusts as intended.","Y","PAUSE,MDC","Interior","20","","03a0d327","e285893c , dd175d8e , d17f47a1 , a3a5f446 , 4642d2d9 , 6ad2c8a1 , 1dfe1a9d , 309bdd27 , 52b59c2b",
"UPDI-0131","Water System","Shower","Check","Exterior shower\sprayer installed\secured properly. No leaks\damage\blemishes","Y","MDC,PAUSE","Exterior","30","","03a0d327","6c39785c , eca4b355 , df12db9b , 4ef20f25 , fb5ce40f , d3772196 , 384bb438 , 17433941 , 85b228ef",
"UPDI-0133","Water System","Water Fill","Check","Fresh water tanks fill normally. No leaks, damage, or blemishes.","Y","MDC,PAUSE","Exterior","10","","03a0d327","e8e48d0c , bdefe103 , f28e80a8 , ff68d410 , bf01e974 , 3b3ca58a , 9b5bf362 , 4051d791 , 7201fc97",
"UPDI-0134","Water System","City Water","Check","No water leaks are present during operation or pressure testing.","Y","MDC,PAUSE","Exterior","20","","03a0d327","91f00a21 , 7596ffda , eb1e062c , 80feb537 , 53816673 , 62458605 , 13851eea , 84648244 , 6c83be3d",
"UPDI-0137","Water System","Water Heater Compartment","Check","Water heater filter installed. Compartment door has no damage\blemishes","Y","MDC,PAUSE","Exterior","10","","03a0d327","f57886df , eb6d059b , 51ae2943 , af3438e4 , 96a347fd , 88d484ec , 2e7eb93c , fd69d160 , 907bd66c",
"UPDI-0138","Water System","Appliance","Check","Water heater operates normally and reaches expected settings/performance. 20 minute test.","Y","MDC,PAUSE","Exterior","20","","03a0d327","cb6decfa , 563da90e , 5b9194ce , d81cf1a9 , dfc41882 , b51584d5 , c153a7d0 , 281cf82f , 5a656cf0",
"UPDI-0141","OEM Accessory","Spare Key","Check","Spare keys present","Y","MDC,PAUSE","Accessories","30","","03a0d327","3064df85 , 283735b0 , 939c1715 , 9d60ddb8 , 3f8ac48d , 5cab5f3d , 98ba8ddb , 81d0dcea , 5b297481",
"UPDI-0142","OEM Accessory","Electrical","Check","Shore power cord (30 amp)","Y","MDC/PAUSE","Accessories","10","","03a0d327","ab678ec9 , 99b2bd39 , 21dd6092 , f7b5f574 , 964c384b , 3cc80f81 , 20c37419 , f7c7ff7c , 5d338f8e",
"UPDI-0143","Charging","Monitor","Check","Battery monitor shows proper SOC","Y","MDC,PAUSE","Interior","10","","03a0d327","a088cecb , b0fcf616 , 955d715d , 02fc1823 , a0269d4e , 7e23b1bd , 780c8147 , e9beb0b4 , 0212332f",
"UPDI-0144","Charging","Shore","Check","Batteries charging on shore power. Inverter\charge set correctly","Y","MDC,PAUSE","Interior","20","","03a0d327","ff12b255 , ba6721b7 , 6158bab7 , 6aaae737 , f5163d83 , e8478a5a , 85872255 , 977a8140 , 9501a051",
"UPDI-0145","Cosmetic","Finishes","Check","Exterior walls\decals have no damage\blemishes","Y","MDC,PAUSE","Exterior","20","","03a0d327","346992ad , d81ea12c , 7f889a1d , 21f55308 , e3511614 , 456df51e , d7139182 , 72003827 , 66dd8763",
"UPDI-0146","Prepickup Check","Cleanliness","Check","Interior is clean. Bedding is present. No blemishes","Y","MDC,PAUSE","Interior","20","","03a0d327","532521f1 , 2780f1f1 , 90a8d747 , 0a8583a6 , aa6ca7ff , 4a322567 , 398d0cd3 , ee01ecae , cc484184",
"UPDI-0147","Home","Outlet","Check","Popup Outlets\USB functional. No damage\blemishes.","Y","MDC,PAUSE","Interior","30","","03a0d327","2b08d4a1 , 5130bbce , f804d4b6 , 3bf013b3 , 10799acc , 6a6396a8 , 81b5cc17 , 9efa5a31 , f65ff188",
"UPDI-0149","Home","Appliance","Check","Truma Control panel installed\secured properly. Configured for applicable appliances.","Y","MDC,PAUSE","Interior","20","","03a0d327","c1366bc2 , 7d44872a , 5128091d , bfc77639 , 6a1f2cfb , e7c10cc7 , 75b0bc38 , cf4bf451 , fc98fac2",
